index,ds,city_name,y,temp_min,temp_max,rain_1h,clouds_all
5109,2017-10-17,Valencia,293.7333333333333,293.7333333333333,293.7333333333333,0.0249999999999999,44.583333333333336
5114,2017-10-18,Valencia,292.8583333333333,292.8583333333333,292.8583333333333,0.0,31.666666666666668
5119,2017-10-19,Valencia,290.15,290.15,290.15,0.0124999999999999,23.75
5124,2017-10-20,Valencia,291.9833333333333,291.9833333333333,291.9833333333333,0.0,15.833333333333334
5129,2017-10-21,Valencia,293.94166666666666,293.94166666666666,293.94166666666666,0.0,6.666666666666667
5134,2017-10-22,Valencia,292.65,292.65,292.65,0.0,33.958333333333336
5139,2017-10-23,Valencia,290.56666666666666,290.56666666666666,290.56666666666666,0.0,16.458333333333332
5144,2017-10-24,Valencia,291.525,291.525,291.525,0.0,0.0
5149,2017-10-25,Valencia,291.3583333333333,291.3583333333333,291.3583333333333,0.0,0.0
5154,2017-10-26,Valencia,291.2333333333333,291.2333333333333,291.2333333333333,0.0,0.0
